sku,n_snapshots,categoria,pct_snapshots
CHA LEAO ICE TEA FUZE PESSEGO 450ML,1,CHÁ,2.0
CHA LEAO ICE TEA LIMAO 450ML,3,CHÁ,5.9
CHEETOS ASSADO BOLA QUEIJO SUICO 34G,49,SNACK ELMA CHIPS,96.1
CHEETOS ASSADO BOLA QUEIJO SUICO 37G,43,SNACK ELMA CHIPS,84.3
CHEETOS ASSADO LUA QUEIJO 40G,41,SNACK ELMA CHIPS,80.4
CHEETOS ASSADO MIX QUEIJO 41G,40,SNACK ELMA CHIPS,78.4
CHEETOS CRUNCHY PIMENTA MEXICANA 47G,50,SNACK ELMA CHIPS,98.0
CHEETOS LUA PARMESAO 34G,49,SNACK ELMA CHIPS,96.1
CHEETOS LUA PARMESAO 80G,48,SALGADO ASSADO/FRITO,94.1
CHEETOS LUA PARMESAO 95G,29,SNACK ELMA CHIPS,56.9
CHEETOS MIX DE QUEIJOS 34G,48,SNACK ELMA CHIPS,94.1
CHEETOS MIX DE QUEIJOS 70G,48,SALGADO ASSADO/FRITO,94.1
CHEETOS MIX DE QUEIJOS 82G,35,SNACK ELMA CHIPS,68.6
CHEETOS ONDA 45G,40,SNACK ELMA CHIPS,78.4
CHEETOS ONDA REQUEIJAO 105G,27,SNACK ELMA CHIPS,52.9
CHEETOS ONDA REQUEIJAO 39G,49,SNACK ELMA CHIPS,96.1
CHEETOS ONDA REQUEIJÃO 90G,49,SNACK ELMA CHIPS,96.1
CHESTERFIELD REMIX BEATS,14,PHILIP MORRIS,27.5
CHESTERFIELD REMIX BLOSSOM MINT BOX,22,PHILIP MORRIS,43.1
CHESTERFIELD REMIX FRESH E MINT,29,PHILIP MORRIS,56.9
CHESTERFIELD TERRAS BRASILEIRAS AZUL FB KS RCB 20,22,PHILIP MORRIS,43.1
CHICLE ARCOR HUEVITOS TORTUGUITA 300G,14,CHICLETE,27.5
CHICLE FINI MONO CLASSICOS 14G,14,CHICLETE,27.5
CHICLE FINI SALADA DE FRUTA 14G,14,CHICLETE,27.5
CHOCO WHEYFER PISTACHE 25G,49,CEREAIS,96.1
"CHOCOLATE ARCOR TORTUGUITA 11,5G",36,CHOCOLATE ARCOR,70.6
CHOCOLATE BIS LACTA,29,CHOCOLATE DIVERSOS,56.9
CHOCOLATE CARIBE CANDYBAR 28G,18,CHOCOLATE DIVERSOS,35.3
CHOCOLATE DIAMANTE NEGRO 80G,14,CHOCOLATE LACTA,27.5
CHOCOLATE GAROTO AMENDOIM CROCANTE 25G 2UN,34,CHOCOLATE GAROTO,66.7
CHOCOLATE LACTA LAKA 80G,10,CHOCOLATE LACTA,19.6
CHOCOLATE LACTA SHOT 80G,14,CHOCOLATE LACTA,27.5
CHOCOLATE TORTUGUITA BRIGADEIRO 15.5G,7,CHOCOLATE DIVERSOS,13.7
CHÁ VERDE LIMÃO LEÃO GARRAFA 450ML,46,CHÁ,90.2
CIABATTA MANIA FOODS CARNE SECA 155G,47,PADARIA,92.2
CIABATTA MANIA FOODS FRANGO E BACON 170G,38,PADARIA,74.5
CIABATTA MANIA FOODS PRESUNTO E QUEIJO 170G,39,PADARIA,76.5
CIGARRO CAMEL KRETEK BERRY,37,JTI,72.5
CIGARRO CAMEL RED DUNE,47,CIGARRILHAS,92.2
CIGARRO HARMONY SLIMS,46,PHILIP MORRIS,90.2
CIGARRO INDONESIA KRETEK CAMEL OPTION,32,JTI,62.7
CIGARRO LM FIRST CUT GREY BOX,38,JTI,74.5
CIGARRO LUCKY STRIKE AN AMERICAN ORIGINAL,43,SOUZA CRUZ,84.3
CIGARRO LUCKY STRIKE ORIGINAL MACO,33,SOUZA CRUZ,64.7
CIGARRO ROTHMANS OF LONDON,6,SOUZA CRUZ,11.8
CLUB SOCIAL BACON E PROVOLONE 141G,10,BISCOITO,19.6
CLUB SOCIAL CEBOLA COM SOUR CREAM 141G,34,BISCOITO,66.7
CLUB SOCIAL ORIGINAL 24GR,3,BISCOITO,5.9
CLUB SOCIAL PIZZA MARGUERITA 68G,40,BISCOITO,78.4
"CLUB SOCIAL PRESUNTO 23,5GR",8,BISCOITO,15.7
"CLUB SOCIAL RECH. QUEIJO, TOMATE E MANJERICAO 26,5GR",8,BISCOITO,15.7
CLUB SOCIAL RECH. REQUEIJAO 106G,8,BISCOITO,15.7
CLUB SOCIAL SNACK ASSADO CHURRASCO 68G,40,BISCOITO,78.4
CLUB SOCIAL SNACK BARBECUE 68G,36,BISCOITO,70.6
