sku,n_snapshots,categoria,pct_snapshots
TRAKINAS RECH. CHOCOLATE 126G,13,BISCOITO,25.5
TRAKINAS RECH. MORANGO 126G,10,BISCOITO,19.6
TRAKINAS RECHEADA TORTINHA DE LIMAO 126G,27,BISCOITO,52.9
TRENTO PISTACHE 29G,47,CHOCOLATE DIVERSOS,92.2
"TRIDENT BLUEBERRY 25,2GR",15,CHICLETE,29.4
"TRIDENT GAMERS ACID BERRY 48,3G",48,CHICLETE,94.1
"TRIDENT GAMERS CITRUS MAX SEM ACUCAR 48,3G",46,CHICLETE,90.2
"TRIDENT MELANCIA 14UN 25,2GR",29,CHICLETE,56.9
"TRIDENT MENTA 14UN 25,2GR",3,CHICLETE,5.9
TRIDENT X SENSES MELANCIA MINT 28UN,35,CHICLETE,68.6
"TRIDENT XFRESH INTENSE 26,6GR",1,CHICLETE,2.0
TRIDENT XSENSES MORANGO LIME 54G,40,CHICLETE,78.4
TRIDENT XSENSES PEPPERMINT ZERO POTE 54G,40,CHICLETE,78.4
TRIUNFO WAFER CHOCO/AVELA 105GR,45,BISCOITO,88.2
TWIX 15GR,18,CHOCOLATE M&M (MARS),35.3
TWIX 40G,16,CHOCOLATE M&M (MARS),31.4
VINHO TINTO SUAVE PERGOLA 1LT,48,VINHO,94.1
VODKA ORLOFF 1LT,50,VODKA,98.0
VODKA SMIRNOFF ICE RED LONG NECK 275ML,43,VODKA,84.3
WAFER HANUTA AVELA,28,BISCOITO,54.9
WAFER RECHEADO OURO BRANCO 25G,39,BISCOITO,76.5
WAFER RECHEADO SONHO DE VALSA 25G,48,BISCOITO,94.1
WHISKY JOHNNIE WALKER RED LABEL 1LT,50,WHISK,98.0
WHISKY RED LABEL 750ML,50,WHISK,98.0
WHISKY WHITE HORSE 1LT,48,WHISK,94.1
WINSTON BLUE BOX HAND SELECTED,5,JTI,9.8
WINSTON CLASSIC HAND SELECTED,4,JTI,7.8
WINSTON DOUBLE MINT BOX,15,JTI,29.4
WINSTON RED 8 BOX,3,JTI,5.9
WINSTON SILVER,28,JTI,54.9
WINSTON X STYLE BLUE,37,JTI,72.5
WINSTON X STYLE RED,37,JTI,72.5
YOKITOS ANEIS CEBOLA 54GR,31,SNACK DIVERSOS,60.8
YOKITOS CONCHINHAS PRESUNTO 54GR,33,SNACK DIVERSOS,64.7
YOKITOS REDINHA QUEIJO 45GR,47,SNACK DIVERSOS,92.2
