seed,episodio,phase,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove,per_beta
123,111,3,1095,573430.25,635004.92,1785.2,85.4,0.184,43.584,79.1,1.0
123,112,3,1095,561595.25,626551.61,1808.7,72.6,0.1813,42.2264,77.5,1.0
123,113,3,1095,560289.44,624287.25,1773.0,107.8,0.1785,40.3111,77.2,1.0
123,114,3,1095,584649.1,636383.98,1774.3,134.3,0.1759,41.4081,80.5,1.0
123,115,3,1095,561432.8,632008.32,1777.5,67.3,0.1732,41.0059,81.4,1.0
123,116,3,1095,573343.25,630596.71,1738.1,84.8,0.1706,42.3052,83.4,1.0
123,117,3,1095,581421.1,639707.68,1707.2,61.1,0.1681,41.4457,84.1,1.0
123,118,3,1095,573372.3,642370.8,1761.1,126.5,0.1655,42.2689,79.2,1.0
123,119,3,1095,553586.6,623624.87,1797.8,141.3,0.1631,41.4714,82.0,1.0
123,120,3,1095,556552.94,621272.57,1867.5,142.0,0.1606,41.6352,79.5,1.0
123,121,3,1095,551360.6,623203.77,1718.7,131.7,0.1582,44.3686,85.4,1.0
123,122,3,1095,565293.9,632472.64,1827.6,65.7,0.1558,40.7287,81.0,1.0
123,123,3,1095,579202.44,632010.87,1752.9,71.1,0.1535,41.2672,84.0,1.0
123,124,3,1095,561647.4,627474.35,1726.2,141.7,0.1512,41.8952,85.8,1.0
123,125,3,1095,581468.3,638284.97,1808.3,65.5,0.1489,41.1547,82.2,1.0
123,126,3,1095,555383.8,620331.83,1711.7,174.6,0.1467,42.4462,82.7,1.0
123,127,3,1095,546516.2,617249.84,1799.2,217.8,0.1445,42.9067,85.3,1.0
123,128,3,1095,552569.1,621196.92,1788.2,122.9,0.1423,40.9201,79.5,1.0
123,129,3,1095,577961.44,635376.61,1778.2,68.6,0.1402,42.4009,86.4,1.0
123,130,3,1095,575693.25,632964.21,1786.6,69.2,0.1381,41.9399,85.9,1.0
123,131,3,1095,564878.94,627219.14,1805.0,60.4,0.136,43.9961,86.4,1.0
123,132,3,1095,581231.44,631573.9,1712.5,74.2,0.134,42.1361,84.1,1.0
123,133,3,1095,579694.75,628002.23,1822.4,64.1,0.132,42.4545,82.9,1.0
123,134,3,1095,567293.44,626290.97,1849.8,78.9,0.13,42.7791,82.6,1.0
123,135,3,1095,559635.9,627718.07,1840.2,50.5,0.128,42.1554,85.2,1.0
123,136,3,1095,579286.4,638451.27,1803.6,57.8,0.1261,44.8784,81.9,1.0
123,137,3,1095,572585.94,634177.31,1750.5,102.9,0.1242,42.3262,88.2,1.0
123,138,3,1095,575777.5,626254.68,1755.6,94.0,0.1224,43.2278,83.6,1.0
123,139,3,1095,558331.9,622010.69,1755.3,76.1,0.1205,40.8457,84.7,1.0
123,140,3,1095,575655.4,630444.36,1786.5,64.7,0.1187,41.6492,84.7,1.0
123,141,3,1095,589860.44,638484.32,1809.2,94.0,0.1169,42.8394,82.7,1.0
123,142,3,1095,572915.2,626313.07,1731.7,201.7,0.1152,43.7891,84.7,1.0
123,143,3,1095,565815.1,625581.58,1865.7,60.5,0.1135,42.1887,82.7,1.0
123,144,3,1095,593616.1,652152.59,1838.6,152.1,0.1118,41.3988,81.5,1.0
123,145,3,1095,569139.56,631107.0,1650.9,182.8,0.1101,42.0234,86.5,1.0
123,146,3,1095,574741.06,630702.64,1732.7,89.3,0.1084,42.3701,83.6,1.0
123,147,3,1095,576070.6,623178.32,1722.5,92.6,0.1068,42.7719,87.7,1.0
123,148,3,1095,615074.06,656133.69,1754.2,207.5,0.1052,40.1717,85.8,1.0
123,149,3,1095,565499.1,621821.56,1772.5,150.8,0.1036,41.6019,87.0,1.0
