sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct
REFRIGERANTE SUKITA TUBAINA PET 2L,REFRIGERANTE,13.99,5.9574,23,2022-1,2024-12,2026-05-10,8.03,57.4
REFRIGERANTE SUKITA UVA 200ML,REFRIGERANTE,3.99,1.4467,3,2022-2,2024-12,2026-05-09,2.54,63.7
"SCHWEPPS CITRUS 1,5LT",REFRIGERANTE,16.99,0.0,49,2022-1,2026-12,2026-04-09,16.99,100.0
SCHWEPPS CITRUS 1.5LTS,REFRIGERANTE,16.99,7.9308,49,2022-1,2026-12,2026-05-07,9.06,53.3
SCHWEPPS CITRUS LATA 350ML,REFRIGERANTE,7.99,3.3919,37,2022-1,2026-11,2026-04-14,4.6,57.6
SCHWEPPS CITRUS ORIGINAL 350ML,REFRIGERANTE,7.99,3.4139,1,2026-1,2026-1,2026-05-10,4.58,57.3
SPRITE FRESH 510ML,REFRIGERANTE,5.99,2.9239,20,2022-1,2023-11,2026-05-09,3.07,51.3
SPRITE LATA 220ML,REFRIGERANTE,3.99,1.8867,28,2022-1,2024-12,2026-05-10,2.1,52.6
SPRITE MINI PET 200ML,REFRIGERANTE,3.99,1.5133,49,2022-1,2026-12,2026-04-24,2.48,62.2
SUKITA LARANJA 2LTS,REFRIGERANTE,11.99,5.9026,1,2026-5,2026-5,2026-04-29,6.09,50.8
CHEETOS LUA PARMESAO 80G,SALGADO ASSADO/FRITO,13.99,7.4427,48,2022-1,2026-12,2026-05-07,6.55,46.8
CHEETOS MIX DE QUEIJOS 70G,SALGADO ASSADO/FRITO,13.99,7.6279,48,2022-1,2026-12,2026-05-04,6.36,45.5
CROISSANT 7 DAYS CHOCOLATE 45G,SALGADO ASSADO/FRITO,8.99,3.99,47,2022-1,2026-12,2026-02-28,5.0,55.6
FANDANGOS PRESUNTO 85G,SALGADO ASSADO/FRITO,11.99,6.4239,48,2022-1,2026-12,2026-05-10,5.57,46.5
SANDUICHE NATURAL MANIA LANCHE 3 QUEIJOS,SANDUÍCHE,14.9,9.6,16,2022-2,2024-9,2026-05-10,5.3,35.6
SANDUICHE NATURAL MANIA LANCHES ATUM 140GR,SANDUÍCHE,14.9,9.6,14,2022-2,2025-9,2026-05-08,5.3,35.6
SANDUICHE NATURAL MANIA LANCHES FILE DE FRANGO 160GR,SANDUÍCHE,14.9,9.6,12,2022-2,2024-9,2026-05-08,5.3,35.6
SANDUICHE NATURAL MANIA LANCHES PEITO DE PERU C/TOMATE SECO,SANDUÍCHE,14.9,9.6,13,2022-2,2024-9,2026-05-10,5.3,35.6
SANDUICHE NATURAL MANIA LANCHES SALAME COM PROVOLONE 140GR,SANDUÍCHE,14.9,9.6,12,2022-2,2024-9,2026-05-09,5.3,35.6
BATATA FRITA LAYS SALT E VINEGAR 70G,SNACK DIVERSOS,13.99,7.684,49,2022-1,2026-12,2026-01-06,6.31,45.1
BATATA FRITA LISA KELECK BARBECUE 90G,SNACK DIVERSOS,8.99,4.49,49,2022-1,2026-12,2026-04-18,4.5,50.1
BATATA FRITA LISA KELECK CEBOLA E SALSA 90G,SNACK DIVERSOS,8.99,4.49,48,2022-1,2026-12,2026-05-08,4.5,50.1
BATATA FRITA LISA KELECK NATURAL 90G,SNACK DIVERSOS,8.99,4.49,49,2022-1,2026-12,2026-04-27,4.5,50.1
BATATA FRITA LISA KELEEK CHURRASCO 90G,SNACK DIVERSOS,8.99,4.49,48,2022-1,2026-12,2026-05-02,4.5,50.1
BATATA LAYS CLASSICO 62G,SNACK DIVERSOS,13.99,7.3625,49,2022-1,2026-12,2026-05-10,6.63,47.4
BATATA LAYS COPA PICANHA 62G,SNACK DIVERSOS,13.99,7.2871,49,2022-1,2026-12,2026-05-09,6.7,47.9
BATATA LAYS COPA QUEIJO CAMEMBERT 62G,SNACK DIVERSOS,13.99,7.6333,50,2022-1,2026-12,2026-04-18,6.36,45.5
BATATA LAYS SENSACOES FRANGO GRELHADO 35G,SNACK DIVERSOS,9.99,4.618,49,2022-1,2026-12,2026-05-08,5.37,53.8
BATATA LAYS SOUR CREAM 62G,SNACK DIVERSOS,13.99,7.3625,50,2022-1,2026-12,2026-05-10,6.63,47.4
BATATA LAYS TACO MEXICANO 62G,SNACK DIVERSOS,13.99,7.77,50,2022-1,2026-12,2026-04-18,6.22,44.5
BATATA PRINGLES STRANGER THINGS BACON 100G,SNACK DIVERSOS,19.99,10.9067,50,2022-1,2026-12,2025-12-21,9.08,45.4
CEBOLITOS 36G,SNACK DIVERSOS,6.63,3.2846,77,2022-1,2026-12,2026-05-09,3.34,50.4
EBICEN SALGADINHO SABOR CAMARAO 30G,SNACK DIVERSOS,4.99,2.624,28,2022-1,2026-12,2025-12-30,2.37,47.5
EBICEN SALGADINHO SABOR CEBOLA 30G,SNACK DIVERSOS,4.99,2.638,31,2022-1,2026-12,2026-01-05,2.35,47.1
KELECK BATATA FRITA PEPERONI 90G,SNACK DIVERSOS,8.99,4.49,48,2022-1,2026-12,2026-05-05,4.5,50.1
PINGO D OURO BACON 76G,SNACK DIVERSOS,8.99,4.5912,32,2022-1,2026-12,2026-03-01,4.4,48.9
PURURUCA MILHO PICANTE KELECK 90G,SNACK DIVERSOS,5.99,2.99,48,2022-1,2026-12,2026-05-06,3.0,50.1
SALGADINHO CHEEZ IT PARMESSAO SNACK 65G,SNACK DIVERSOS,4.99,0.0,49,2022-1,2026-12,2026-02-07,4.99,100.0
SALGADINHO CHEEZ IT SNAPD NACHO EXPLOSION 45G,SNACK DIVERSOS,4.99,2.906,50,2022-1,2026-12,2026-02-26,2.08,41.7
