sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct,tipo
NESTLE PASSATEMPO RECHEIO DE CHOCOLATE 130GR,BISCOITO,5.99,2.9311,10,2022-2,2023-12,2026-05-05,3.06,51.1,conveniencia
NESTLE PASSATEMPO RECHEIO DE MORANGO 130GR,BISCOITO,5.99,3.236,27,2022-1,2026-12,2026-03-15,2.75,45.9,conveniencia
OREO CHOCOLATE 90G,BISCOITO,6.99,3.6,29,2022-1,2026-12,2026-04-12,3.39,48.5,conveniencia
OREO MILKSHAKE DE MORANGO 90GR,BISCOITO,6.99,3.45,33,2022-1,2026-12,2026-03-24,3.54,50.6,conveniencia
OREO ORIGINAL 90GR,BISCOITO,6.99,3.672,14,2022-2,2026-10,2026-05-06,3.32,47.5,conveniencia
PALITO LOOK CHOCOLATE 55GR,BISCOITO,5.99,3.178,31,2022-1,2026-12,2026-01-11,2.81,46.9,conveniencia
PALITO LOOK MORANGO 55GR,BISCOITO,5.99,2.9269,34,2022-1,2026-12,2025-11-24,3.06,51.1,conveniencia
PIRAQUE BISCOITO PRESUNTINHO 100GR,BISCOITO,6.99,3.44,21,2022-1,2026-12,2026-04-27,3.55,50.8,conveniencia
PIRAQUE ROLADINHO GOIABINHA 75GR,BISCOITO,7.99,3.98,35,2022-1,2026-12,2026-04-26,4.01,50.2,conveniencia
TRAKINAS MEIO A MEIO CHOCOLATE BRANCO E PRETO 126G,BISCOITO,4.99,2.427,23,2022-1,2026-11,2026-05-02,2.56,51.3,conveniencia
TRAKINAS MEIO A MEIO CHOCOLATE E MORANGO 126G,BISCOITO,4.99,2.3317,16,2022-1,2026-12,2026-04-04,2.66,53.3,conveniencia
TRAKINAS RECH. CHOCOLATE 126G,BISCOITO,4.99,2.2833,13,2022-1,2026-11,2026-04-26,2.71,54.3,conveniencia
TRAKINAS RECH. MORANGO 126G,BISCOITO,4.99,2.25,10,2022-1,2026-11,2026-04-29,2.74,54.9,conveniencia
TRAKINAS RECHEADA TORTINHA DE LIMAO 126G,BISCOITO,4.99,2.2729,27,2022-1,2026-12,2026-04-28,2.72,54.5,conveniencia
TRIUNFO WAFER CHOCO/AVELA 105GR,BISCOITO,6.99,0.0,45,2022-1,2026-12,2026-05-08,6.99,100.0,conveniencia
WAFER HANUTA AVELA,BISCOITO,6.99,3.85,28,2022-1,2026-12,2026-02-15,3.14,44.9,conveniencia
WAFER RECHEADO OURO BRANCO 25G,BISCOITO,3.99,1.7835,39,2022-1,2026-12,2024-11-03,2.21,55.4,conveniencia
WAFER RECHEADO SONHO DE VALSA 25G,BISCOITO,3.99,1.7933,48,2022-1,2026-12,2024-08-03,2.2,55.1,conveniencia
