produto,dia,turno,mes,fator_combinado,is_fraco,action,promove
gelo,3,1,11,1.363,False,0,False
gelo,3,2,11,0.908,False,0,False
gelo,4,0,11,1.799,False,0,False
gelo,4,1,11,1.856,False,0,False
gelo,4,2,11,1.236,False,0,False
gelo,5,0,11,5.414,False,0,False
gelo,5,1,11,5.585,False,0,False
gelo,5,2,11,3.721,False,0,False
gelo,6,0,11,4.134,False,0,False
gelo,6,1,11,4.264,False,0,False
gelo,6,2,11,2.841,False,0,False
refrigerante,0,0,0,0.762,True,3,True
refrigerante,0,1,0,0.953,False,3,True
refrigerante,0,2,0,1.16,False,3,True
refrigerante,1,0,0,0.719,True,0,False
refrigerante,1,1,0,0.9,False,0,False
refrigerante,1,2,0,1.095,False,3,True
refrigerante,2,0,0,0.773,True,0,False
refrigerante,2,1,0,0.967,False,0,False
refrigerante,2,2,0,1.177,False,3,True
refrigerante,3,0,0,0.786,True,0,False
refrigerante,3,1,0,0.983,False,0,False
refrigerante,3,2,0,1.196,False,3,True
refrigerante,4,0,0,0.863,False,0,False
refrigerante,4,1,0,1.079,False,0,False
refrigerante,4,2,0,1.313,False,0,False
refrigerante,5,0,0,0.96,False,0,False
refrigerante,5,1,0,1.201,False,0,False
refrigerante,5,2,0,1.461,False,0,False
refrigerante,6,0,0,1.179,False,0,False
refrigerante,6,1,0,1.475,False,0,False
refrigerante,6,2,0,1.795,False,0,False
refrigerante,0,0,1,0.821,True,3,True
refrigerante,0,1,1,1.028,False,3,True
refrigerante,0,2,1,1.25,False,3,True
refrigerante,1,0,1,0.775,True,0,False
refrigerante,1,1,1,0.97,False,0,False
refrigerante,1,2,1,1.18,False,3,True
refrigerante,2,0,1,0.833,False,0,False
refrigerante,2,1,1,1.042,False,0,False
refrigerante,2,2,1,1.269,False,0,False
refrigerante,3,0,1,0.847,False,0,False
refrigerante,3,1,1,1.059,False,0,False
refrigerante,3,2,1,1.289,False,3,True
refrigerante,4,0,1,0.929,False,0,False
refrigerante,4,1,1,1.163,False,0,False
refrigerante,4,2,1,1.415,False,0,False
refrigerante,5,0,1,1.035,False,0,False
refrigerante,5,1,1,1.294,False,0,False
refrigerante,5,2,1,1.575,False,0,False
refrigerante,6,0,1,1.271,False,0,False
refrigerante,6,1,1,1.589,False,0,False
refrigerante,6,2,1,1.934,False,0,False
refrigerante,0,0,2,0.829,True,3,True
refrigerante,0,1,2,1.037,False,3,True
refrigerante,0,2,2,1.262,False,3,True
refrigerante,1,0,2,0.783,True,0,False
refrigerante,1,1,2,0.979,False,0,False
refrigerante,1,2,2,1.191,False,3,True
refrigerante,2,0,2,0.841,False,0,False
refrigerante,2,1,2,1.052,False,0,False
refrigerante,2,2,2,1.28,False,0,False
refrigerante,3,0,2,0.855,False,0,False
refrigerante,3,1,2,1.069,False,0,False
refrigerante,3,2,2,1.301,False,3,True
refrigerante,4,0,2,0.938,False,0,False
refrigerante,4,1,2,1.174,False,0,False
refrigerante,4,2,2,1.428,False,0,False
refrigerante,5,0,2,1.044,False,0,False
refrigerante,5,1,2,1.306,False,0,False
refrigerante,5,2,2,1.59,False,0,False
refrigerante,6,0,2,1.282,False,0,False
refrigerante,6,1,2,1.604,False,0,False
refrigerante,6,2,2,1.952,False,0,False
refrigerante,0,0,3,0.71,True,3,True
refrigerante,0,1,3,0.888,False,3,True
refrigerante,0,2,3,1.08,False,3,True
refrigerante,1,0,3,0.67,True,0,False
refrigerante,1,1,3,0.838,False,0,False
refrigerante,1,2,3,1.02,False,3,True
refrigerante,2,0,3,0.72,True,0,False
refrigerante,2,1,3,0.901,False,0,False
refrigerante,2,2,3,1.096,False,3,True
refrigerante,3,0,3,0.732,True,0,False
refrigerante,3,1,3,0.915,False,0,False
refrigerante,3,2,3,1.114,False,3,True
refrigerante,4,0,3,0.803,True,0,False
refrigerante,4,1,3,1.004,False,0,False
refrigerante,4,2,3,1.222,False,0,False
refrigerante,5,0,3,0.894,False,0,False
refrigerante,5,1,3,1.118,False,0,False
refrigerante,5,2,3,1.361,False,0,False
refrigerante,6,0,3,1.098,False,0,False
refrigerante,6,1,3,1.373,False,0,False
refrigerante,6,2,3,1.671,False,0,False
refrigerante,0,0,4,0.626,True,3,True
refrigerante,0,1,4,0.784,True,3,True
refrigerante,0,2,4,0.954,False,3,True
refrigerante,1,0,4,0.591,True,0,False
refrigerante,1,1,4,0.74,True,0,False
refrigerante,1,2,4,0.9,False,3,True
refrigerante,2,0,4,0.636,True,0,False
refrigerante,2,1,4,0.795,True,0,False
refrigerante,2,2,4,0.967,False,3,True
refrigerante,3,0,4,0.646,True,3,True
refrigerante,3,1,4,0.808,True,3,True
refrigerante,3,2,4,0.983,False,3,True
refrigerante,4,0,4,0.709,True,0,False
refrigerante,4,1,4,0.887,False,0,False
refrigerante,4,2,4,1.079,False,3,True
refrigerante,5,0,4,0.789,True,0,False
refrigerante,5,1,4,0.987,False,0,False
refrigerante,5,2,4,1.201,False,0,False
refrigerante,6,0,4,0.969,False,0,False
refrigerante,6,1,4,1.212,False,0,False
refrigerante,6,2,4,1.475,False,0,False
refrigerante,0,0,5,0.588,True,3,True
refrigerante,0,1,5,0.735,True,3,True
refrigerante,0,2,5,0.895,False,3,True
refrigerante,1,0,5,0.555,True,0,False
refrigerante,1,1,5,0.694,True,0,False
refrigerante,1,2,5,0.844,False,3,True
refrigerante,2,0,5,0.596,True,0,False
refrigerante,2,1,5,0.746,True,0,False
refrigerante,2,2,5,0.908,False,3,True
refrigerante,3,0,5,0.606,True,0,False
refrigerante,3,1,5,0.758,True,0,False
refrigerante,3,2,5,0.922,False,3,True
refrigerante,4,0,5,0.665,True,0,False
refrigerante,4,1,5,0.832,False,0,False
refrigerante,4,2,5,1.012,False,3,True
refrigerante,5,0,5,0.74,True,0,False
refrigerante,5,1,5,0.926,False,0,False
refrigerante,5,2,5,1.127,False,0,False
refrigerante,6,0,5,0.909,False,0,False
refrigerante,6,1,5,1.137,False,0,False
refrigerante,6,2,5,1.384,False,0,False
refrigerante,0,0,6,0.562,True,3,True
refrigerante,0,1,6,0.703,True,3,True
refrigerante,0,2,6,0.855,False,3,True
refrigerante,1,0,6,0.53,True,0,False
refrigerante,1,1,6,0.663,True,0,False
refrigerante,1,2,6,0.807,True,3,True
refrigerante,2,0,6,0.57,True,0,False
refrigerante,2,1,6,0.713,True,0,False
refrigerante,2,2,6,0.868,False,3,True
refrigerante,3,0,6,0.579,True,3,True
refrigerante,3,1,6,0.725,True,3,True
refrigerante,3,2,6,0.882,False,3,True
refrigerante,4,0,6,0.636,True,0,False
refrigerante,4,1,6,0.795,True,0,False
refrigerante,4,2,6,0.968,False,3,True
refrigerante,5,0,6,0.708,True,0,False
refrigerante,5,1,6,0.885,False,0,False
refrigerante,5,2,6,1.077,False,0,False
refrigerante,6,0,6,0.869,False,0,False
refrigerante,6,1,6,1.087,False,0,False
refrigerante,6,2,6,1.323,False,0,False
refrigerante,0,0,7,0.592,True,3,True
refrigerante,0,1,7,0.74,True,3,True
refrigerante,0,2,7,0.901,False,3,True
refrigerante,1,0,7,0.558,True,0,False
refrigerante,1,1,7,0.699,True,0,False
refrigerante,1,2,7,0.85,False,3,True
refrigerante,2,0,7,0.6,True,0,False
refrigerante,2,1,7,0.751,True,0,False
refrigerante,2,2,7,0.914,False,3,True
refrigerante,3,0,7,0.61,True,0,False
refrigerante,3,1,7,0.763,True,0,False
refrigerante,3,2,7,0.929,False,3,True
refrigerante,4,0,7,0.67,True,0,False
refrigerante,4,1,7,0.837,False,0,False
refrigerante,4,2,7,1.019,False,3,True
refrigerante,5,0,7,0.745,True,0,False
refrigerante,5,1,7,0.932,False,0,False
refrigerante,5,2,7,1.134,False,0,False
refrigerante,6,0,7,0.915,False,0,False
refrigerante,6,1,7,1.145,False,0,False
refrigerante,6,2,7,1.393,False,0,False
refrigerante,0,0,8,0.702,True,3,True
refrigerante,0,1,8,0.878,False,3,True
refrigerante,0,2,8,1.068,False,3,True
refrigerante,1,0,8,0.662,True,0,False
