categoria,semana_ciclo,pct_desconto,mag_desconto,n_trans
sanduiche,52,50.5,30.3,99
snack,1,49.25,26.6,1315
snack,2,48.95,20.55,1426
snack,3,46.0,23.6,1551
snack,4,52.9,20.3,1386
snack,5,50.95,25.700000000000003,1478
snack,6,54.1,24.15,1617
snack,7,56.6,20.4,1849
snack,8,56.4,25.85,1778
snack,9,59.0,25.25,1860
snack,10,54.3,23.8,1940
snack,11,49.15,22.9,2055
snack,12,48.3,25.85,1996
snack,13,50.5,25.15,2100
snack,14,61.25,26.75,2191
snack,15,64.5,27.5,2439
snack,16,60.300000000000004,25.5,2629
snack,17,53.8,26.049999999999997,2454
snack,18,48.0,25.5,2380
snack,19,53.15,24.4,2255
snack,20,53.7,26.299999999999997,2928
snack,21,52.05,23.7,2541
snack,22,52.15,22.35,2387
snack,23,46.5,26.35,2380
snack,24,51.099999999999994,21.7,2527
snack,25,44.75,22.549999999999997,2661
snack,26,44.25,22.65,2285
snack,27,48.0,23.9,2524
snack,28,37.5,23.200000000000003,2266
snack,29,50.75,21.049999999999997,2596
snack,30,49.85,21.799999999999997,2494
snack,31,52.6,24.75,2424
snack,32,58.1,24.5,2492
snack,33,43.6,21.9,2352
snack,34,39.900000000000006,21.2,2363
snack,35,48.35,20.6,2173
snack,36,42.1,19.4,2034
snack,37,38.2,22.2,2465
snack,38,45.15,22.5,2552
snack,39,46.15,23.549999999999997,2399
snack,40,51.7,22.4,2428
snack,41,60.699999999999996,24.299999999999997,2490
snack,42,52.35,24.4,2718
snack,43,54.15,24.9,2467
snack,44,52.6,26.85,2492
snack,45,54.75,26.1,2448
snack,46,59.5,25.15,3348
snack,47,49.8,26.45,2799
snack,48,46.7,25.4,2399
snack,49,42.1,23.299999999999997,2423
snack,50,36.65,21.15,2199
snack,51,49.0,22.2,1256
snack,52,54.0,22.7,1204
sorvete,1,74.30000000000001,34.2,543
sorvete,2,79.44999999999999,29.5,534
sorvete,3,88.94999999999999,30.1,490
sorvete,4,77.25,28.5,506
sorvete,5,81.35,27.4,503
sorvete,6,83.25,32.45,561
sorvete,7,79.2,29.35,576
sorvete,8,79.25,29.6,569
sorvete,9,80.6,39.45,834
sorvete,10,81.05,39.0,781
sorvete,11,77.45,31.55,846
