data,indice,termo,categoria,datas_alvo
2025-07-06,42,chocolate,chocolate,pascoa;namorados;maes
2025-07-13,39,chocolate,chocolate,pascoa;namorados;maes
2025-07-20,40,chocolate,chocolate,pascoa;namorados;maes
2025-07-27,38,chocolate,chocolate,pascoa;namorados;maes
2025-08-03,42,chocolate,chocolate,pascoa;namorados;maes
2025-08-10,37,chocolate,chocolate,pascoa;namorados;maes
2025-08-17,38,chocolate,chocolate,pascoa;namorados;maes
2025-08-24,37,chocolate,chocolate,pascoa;namorados;maes
2025-08-31,36,chocolate,chocolate,pascoa;namorados;maes
2025-09-07,35,chocolate,chocolate,pascoa;namorados;maes
2025-09-14,35,chocolate,chocolate,pascoa;namorados;maes
2025-09-21,37,chocolate,chocolate,pascoa;namorados;maes
2025-09-28,35,chocolate,chocolate,pascoa;namorados;maes
2025-10-05,36,chocolate,chocolate,pascoa;namorados;maes
2025-10-12,35,chocolate,chocolate,pascoa;namorados;maes
2025-10-19,38,chocolate,chocolate,pascoa;namorados;maes
2025-10-26,38,chocolate,chocolate,pascoa;namorados;maes
2025-11-02,36,chocolate,chocolate,pascoa;namorados;maes
2025-11-09,36,chocolate,chocolate,pascoa;namorados;maes
2025-11-16,37,chocolate,chocolate,pascoa;namorados;maes
2025-11-23,38,chocolate,chocolate,pascoa;namorados;maes
2025-11-30,40,chocolate,chocolate,pascoa;namorados;maes
2025-12-07,44,chocolate,chocolate,pascoa;namorados;maes
2025-12-14,44,chocolate,chocolate,pascoa;namorados;maes
2025-12-21,55,chocolate,chocolate,pascoa;namorados;maes
2025-12-28,41,chocolate,chocolate,pascoa;namorados;maes
2026-01-04,34,chocolate,chocolate,pascoa;namorados;maes
2026-01-11,34,chocolate,chocolate,pascoa;namorados;maes
2026-01-18,36,chocolate,chocolate,pascoa;namorados;maes
2026-01-25,34,chocolate,chocolate,pascoa;namorados;maes
2026-02-01,34,chocolate,chocolate,pascoa;namorados;maes
2026-02-08,36,chocolate,chocolate,pascoa;namorados;maes
2026-02-15,40,chocolate,chocolate,pascoa;namorados;maes
2026-02-22,40,chocolate,chocolate,pascoa;namorados;maes
2026-03-01,44,chocolate,chocolate,pascoa;namorados;maes
2026-03-08,45,chocolate,chocolate,pascoa;namorados;maes
2026-03-15,49,chocolate,chocolate,pascoa;namorados;maes
2026-03-22,57,chocolate,chocolate,pascoa;namorados;maes
2026-03-29,90,chocolate,chocolate,pascoa;namorados;maes
2026-04-05,50,chocolate,chocolate,pascoa;namorados;maes
2026-04-12,38,chocolate,chocolate,pascoa;namorados;maes
2026-04-19,36,chocolate,chocolate,pascoa;namorados;maes
2026-04-26,35,chocolate,chocolate,pascoa;namorados;maes
2026-05-03,40,chocolate,chocolate,pascoa;namorados;maes
2026-05-10,40,chocolate,chocolate,pascoa;namorados;maes
