data,indice,termo,categoria,datas_alvo
2025-01-05,50,cerveja,cerveja,fim_ano;copa;carnaval
2025-01-12,52,cerveja,cerveja,fim_ano;copa;carnaval
2025-01-19,51,cerveja,cerveja,fim_ano;copa;carnaval
2025-01-26,47,cerveja,cerveja,fim_ano;copa;carnaval
2025-02-02,48,cerveja,cerveja,fim_ano;copa;carnaval
2025-02-09,47,cerveja,cerveja,fim_ano;copa;carnaval
2025-02-16,49,cerveja,cerveja,fim_ano;copa;carnaval
2025-02-23,53,cerveja,cerveja,fim_ano;copa;carnaval
2025-03-02,52,cerveja,cerveja,fim_ano;copa;carnaval
2025-03-09,44,cerveja,cerveja,fim_ano;copa;carnaval
2025-03-16,46,cerveja,cerveja,fim_ano;copa;carnaval
2025-03-23,44,cerveja,cerveja,fim_ano;copa;carnaval
2025-03-30,42,cerveja,cerveja,fim_ano;copa;carnaval
2025-04-06,39,cerveja,cerveja,fim_ano;copa;carnaval
2025-04-13,47,cerveja,cerveja,fim_ano;copa;carnaval
2025-04-20,41,cerveja,cerveja,fim_ano;copa;carnaval
2025-04-27,45,cerveja,cerveja,fim_ano;copa;carnaval
2025-05-04,43,cerveja,cerveja,fim_ano;copa;carnaval
2025-05-11,40,cerveja,cerveja,fim_ano;copa;carnaval
2025-05-18,38,cerveja,cerveja,fim_ano;copa;carnaval
2025-05-25,38,cerveja,cerveja,fim_ano;copa;carnaval
2025-06-01,39,cerveja,cerveja,fim_ano;copa;carnaval
2025-06-08,38,cerveja,cerveja,fim_ano;copa;carnaval
2025-06-15,42,cerveja,cerveja,fim_ano;copa;carnaval
2025-06-22,37,cerveja,cerveja,fim_ano;copa;carnaval
2025-06-29,42,cerveja,cerveja,fim_ano;copa;carnaval
2025-07-06,44,cerveja,cerveja,fim_ano;copa;carnaval
2025-07-13,45,cerveja,cerveja,fim_ano;copa;carnaval
2025-07-20,46,cerveja,cerveja,fim_ano;copa;carnaval
2025-07-27,49,cerveja,cerveja,fim_ano;copa;carnaval
2025-08-03,45,cerveja,cerveja,fim_ano;copa;carnaval
2025-08-10,44,cerveja,cerveja,fim_ano;copa;carnaval
2025-08-17,47,cerveja,cerveja,fim_ano;copa;carnaval
2025-08-24,45,cerveja,cerveja,fim_ano;copa;carnaval
2025-08-31,47,cerveja,cerveja,fim_ano;copa;carnaval
2025-09-07,47,cerveja,cerveja,fim_ano;copa;carnaval
2025-09-14,48,cerveja,cerveja,fim_ano;copa;carnaval
2025-09-21,46,cerveja,cerveja,fim_ano;copa;carnaval
2025-09-28,80,cerveja,cerveja,fim_ano;copa;carnaval
2025-10-05,62,cerveja,cerveja,fim_ano;copa;carnaval
2025-10-12,56,cerveja,cerveja,fim_ano;copa;carnaval
2025-10-19,53,cerveja,cerveja,fim_ano;copa;carnaval
2025-10-26,50,cerveja,cerveja,fim_ano;copa;carnaval
