data,indice,termo,categoria,datas_alvo
2026-01-25,45,vinho,vinho,maes;namorados;natal
2026-02-01,42,vinho,vinho,maes;namorados;natal
2026-02-08,41,vinho,vinho,maes;namorados;natal
2026-02-15,45,vinho,vinho,maes;namorados;natal
2026-02-22,42,vinho,vinho,maes;namorados;natal
2026-03-01,45,vinho,vinho,maes;namorados;natal
2026-03-08,45,vinho,vinho,maes;namorados;natal
2026-03-15,46,vinho,vinho,maes;namorados;natal
2026-03-22,45,vinho,vinho,maes;namorados;natal
2026-03-29,60,vinho,vinho,maes;namorados;natal
2026-04-05,46,vinho,vinho,maes;namorados;natal
2026-04-12,44,vinho,vinho,maes;namorados;natal
2026-04-19,47,vinho,vinho,maes;namorados;natal
2026-04-26,47,vinho,vinho,maes;namorados;natal
2026-05-03,49,vinho,vinho,maes;namorados;natal
2026-05-10,59,vinho,vinho,maes;namorados;natal
