data,indice,termo,categoria,datas_alvo
2025-11-09,87,refrigerante,refrigerante,verao;copa
2025-11-16,81,refrigerante,refrigerante,verao;copa
2025-11-23,78,refrigerante,refrigerante,verao;copa
2025-11-30,81,refrigerante,refrigerante,verao;copa
2025-12-07,100,refrigerante,refrigerante,verao;copa
2025-12-14,84,refrigerante,refrigerante,verao;copa
2025-12-21,98,refrigerante,refrigerante,verao;copa
2025-12-28,89,refrigerante,refrigerante,verao;copa
2026-01-04,86,refrigerante,refrigerante,verao;copa
2026-01-11,88,refrigerante,refrigerante,verao;copa
2026-01-18,79,refrigerante,refrigerante,verao;copa
2026-01-25,84,refrigerante,refrigerante,verao;copa
2026-02-01,76,refrigerante,refrigerante,verao;copa
2026-02-08,78,refrigerante,refrigerante,verao;copa
2026-02-15,96,refrigerante,refrigerante,verao;copa
2026-02-22,80,refrigerante,refrigerante,verao;copa
2026-03-01,80,refrigerante,refrigerante,verao;copa
2026-03-08,81,refrigerante,refrigerante,verao;copa
2026-03-15,78,refrigerante,refrigerante,verao;copa
2026-03-22,83,refrigerante,refrigerante,verao;copa
2026-03-29,83,refrigerante,refrigerante,verao;copa
2026-04-05,80,refrigerante,refrigerante,verao;copa
2026-04-12,85,refrigerante,refrigerante,verao;copa
2026-04-19,82,refrigerante,refrigerante,verao;copa
2026-04-26,82,refrigerante,refrigerante,verao;copa
2026-05-03,85,refrigerante,refrigerante,verao;copa
2026-05-10,81,refrigerante,refrigerante,verao;copa
